DATE,CXUTOTALEXPLB0403M
1984-01-01,22294
1985-01-01,23349
1986-01-01,23931
1987-01-01,24177
1988-01-01,25770
1989-01-01,26683
1990-01-01,28117
1991-01-01,29280
1992-01-01,29554
1993-01-01,28594
1994-01-01,30458
1995-01-01,31493
1996-01-01,33020
1997-01-01,34902
1998-01-01,34779
1999-01-01,36158
2000-01-01,38945
2001-01-01,39451
2002-01-01,40318
2003-01-01,40525
2004-01-01,42701
2005-01-01,45068
2006-01-01,47582
2007-01-01,47510
2008-01-01,48159
2009-01-01,46494
2010-01-01,46617
2011-01-01,48097
2012-01-01,49544
2013-01-01,48087
2014-01-01,49547
2015-01-01,52062
2016-01-01,52838
2017-01-01,55325
2018-01-01,56457
2019-01-01,57128
2020-01-01,57644
2021-01-01,63905
2022-01-01,67883
